MODEL NAME, BATCH SIZE, AVG LATENCY (ms), AVG MEM USAGE (MiB)
RESNET18,1,3.657,45.268
RESNET18,2,3.915,45.846
RESNET18,4,4.238,47.002
RESNET18,8,5.43,49.314
RESNET18,16,9.1,53.938
RESNET18,32,15.868,63.187
RESNET18,64,28.597,81.684
WIDE-RESNET101-2,1,19.064,493.19
WIDE-RESNET101-2,2,19.589,493.768
WIDE-RESNET101-2,4,24.894,494.924
WIDE-RESNET101-2,8,43.214,497.236
WIDE-RESNET101-2,16,78.874,501.86
WIDE-RESNET101-2,32,141.094,511.109
WIDE-RESNET101-2,64,269.274,529.606
MOBILENET_V2,1,8.046,14.155
MOBILENET_V2,2,8.302,14.733
MOBILENET_V2,4,8.024,15.89
MOBILENET_V2,8,8.108,18.202
MOBILENET_V2,16,11.523,22.826
MOBILENET_V2,32,21.947,32.074
MOBILENET_V2,64,42.359,50.571
BERT-BASE-UNCASED,1,10.063,418.762
BERT-BASE-UNCASED,2,10.193,418.797
BERT-BASE-UNCASED,4,11.057,418.867
BERT-BASE-UNCASED,8,10.346,419.009
BERT-BASE-UNCASED,16,11.995,419.292
BERT-BASE-UNCASED,32,14.596,420.828
BERT-BASE-UNCASED,64,20.18,420.991
GPT2,1,10.897,488.055
GPT2,2,11.253,488.641
GPT2,4,10.93,489.813
GPT2,8,11.449,492.157
GPT2,16,11.394,496.845
GPT2,32,11.663,510.278
GPT2,64,17.684,525.476
