MODEL NAME, BATCH SIZE, AVG LATENCY (ms), AVG MEM USAGE (MiB)
RESNET18,1,3.698,45.264
RESNET18,2,3.789,45.838
RESNET18,4,4.03,46.987
RESNET18,8,5.434,49.284
RESNET18,16,9.154,53.877
RESNET18,32,15.632,63.065
RESNET18,64,28.897,81.44
MOBILENET_V2,1,8.245,14.151
MOBILENET_V2,2,8.37,14.726
MOBILENET_V2,4,8.151,15.874
MOBILENET_V2,8,8.078,18.171
MOBILENET_V2,16,11.5,22.765
MOBILENET_V2,32,21.933,31.952
MOBILENET_V2,64,42.247,50.327
BERT-BASE-UNCASED,1,10.301,418.762
BERT-BASE-UNCASED,2,10.319,418.797
BERT-BASE-UNCASED,4,11.542,418.867
BERT-BASE-UNCASED,8,11.458,419.009
BERT-BASE-UNCASED,16,10.58,419.292
BERT-BASE-UNCASED,32,16.462,420.828
BERT-BASE-UNCASED,64,20.633,420.991
GPT2,1,11.095,488.055
GPT2,2,10.832,488.641
GPT2,4,11.052,489.813
GPT2,8,11.526,492.157
GPT2,16,11.722,496.845
GPT2,32,11.831,510.278
GPT2,64,19.325,525.476
