MODEL NAME, BATCH SIZE, AVG LATENCY (ms), AVG MEM USAGE (MiB)
RESNET18,1,3.705,45.264
RESNET18,2,3.756,45.838
RESNET18,4,3.799,46.987
RESNET18,8,4.563,49.284
RESNET18,16,7.746,53.877
RESNET18,32,14.734,63.065
RESNET18,64,29.017,81.44
MOBILENET_V2,1,8.199,14.151
MOBILENET_V2,2,8.422,14.726
MOBILENET_V2,4,8.417,15.874
MOBILENET_V2,8,8.387,18.171
MOBILENET_V2,16,11.647,22.765
MOBILENET_V2,32,22.218,31.952
MOBILENET_V2,64,43.527,50.327
BERT-BASE-UNCASED,1,10.333,418.762
BERT-BASE-UNCASED,2,10.367,418.797
BERT-BASE-UNCASED,4,11.106,418.867
BERT-BASE-UNCASED,8,13.654,419.009
BERT-BASE-UNCASED,16,12.606,419.292
BERT-BASE-UNCASED,32,14.608,420.828
BERT-BASE-UNCASED,64,21.272,420.991
GPT2,1,10.877,488.055
GPT2,2,10.886,488.641
GPT2,4,10.947,489.813
GPT2,8,11.571,492.157
GPT2,16,11.446,496.845
GPT2,32,11.345,510.472
GPT2,64,16.571,525.476
